Caracteristicas,Etapa,Precision,Perdida(BCE)
seq_to_seq,train,0.5053028464317322,0.691274881362915
seq_to_seq,validate,0.5048508048057556,0.6916053295135498
seq_to_seq,test,0.5058940052986145,0.6911463737487793
bepler,train,0.6527053117752075,0.6437616348266602
bepler,validate,0.6379616260528564,0.6505487561225891
bepler,test,0.6408825516700745,0.6495018005371094
fasttext,train,0.5132485032081604,0.68839430809021
fasttext,validate,0.512153148651123,0.688931405544281
fasttext,test,0.5117358565330505,0.6891275644302368
fft_alpha_structure,train,0.77098548412323,0.6015311479568481
fft_alpha_structure,validate,0.6018151640892029,0.693688690662384
fft_alpha_structure,test,0.60661381483078,0.6921790242195129
fft_betha_structure,train,0.8283956050872803,0.5742126107215881
fft_betha_structure,validate,0.6312330365180969,0.6814106106758118
fft_betha_structure,test,0.6302419900894165,0.6817494034767151
fft_energetic,train,0.8487029671669006,0.5663310885429382
fft_energetic,validate,0.633684515953064,0.6832985281944275
fft_energetic,test,0.6257563233375549,0.6878514885902405
fft_hydropathy,train,0.810574471950531,0.5836682915687561
fft_hydropathy,validate,0.6250782608985901,0.6866054534912109
fft_hydropathy,test,0.6175151467323303,0.6902555823326111
fft_hydrophobicity,train,0.7520689964294434,0.6103042960166931
fft_hydrophobicity,validate,0.6028061509132385,0.693838357925415
fft_hydrophobicity,test,0.6040058135986328,0.6927688121795654
fft_index,train,0.7689164876937866,0.609580397605896
fft_index,validate,0.5848112106323242,0.70437091588974
fft_index,test,0.5848112106323242,0.704734206199646
fft_secondary_structure,train,0.7803220152854919,0.5983893275260925
fft_secondary_structure,validate,0.6005633473396301,0.6982740163803101
fft_secondary_structure,test,0.6096912026405334,0.693641185760498
fft_volume,train,0.8324466347694397,0.5735591650009155
fft_volume,validate,0.6337888836860657,0.6796376705169678
fft_volume,test,0.6232526898384094,0.6851063370704651
glove,train,0.5179428458213806,0.6867362260818481
glove,validate,0.5150219202041626,0.6882425546646118
glove,test,0.5166388750076294,0.6873778700828552
oneshot,train,0.58461993932724,0.6714640855789185
oneshot,validate,0.5767786502838135,0.6762346625328064
oneshot,test,0.5760483741760254,0.6765621900558472
physicochemical_alpha_structure,train,0.997444212436676,0.504237949848175
physicochemical_alpha_structure,validate,0.6229918599128723,0.7092507481575012
physicochemical_alpha_structure,test,0.6225224137306213,0.7089153528213501
physicochemical_betha_structure,train,0.9973572492599487,0.5042208433151245
physicochemical_betha_structure,validate,0.6264343857765198,0.7069656252861023
physicochemical_betha_structure,test,0.6181410551071167,0.7110434174537659
physicochemical_energetic,train,0.9991132616996765,0.5035412311553955
physicochemical_energetic,validate,0.6214792132377625,0.7102013230323792
physicochemical_energetic,test,0.621792197227478,0.7093306183815002
physicochemical_hydropathy,train,0.9994609951972961,0.5034174919128418
physicochemical_hydropathy,validate,0.630189836025238,0.7064036130905151
physicochemical_hydropathy,test,0.6192885637283325,0.7116349935531616
physicochemical_hydrophobocity,train,0.9991132616996765,0.5035412311553955
physicochemical_hydrophobocity,validate,0.6145942211151123,0.7137315273284912
physicochemical_hydrophobocity,test,0.6097955107688904,0.7161809802055359
physicochemical_index,train,0.9992697834968567,0.5034818053245544
physicochemical_index,validate,0.6275818943977356,0.7072314023971558
physicochemical_index,test,0.6221051812171936,0.7096502780914307
physicochemical_secondary_structure,train,0.9985395073890686,0.5037592053413391
physicochemical_secondary_structure,validate,0.6276340484619141,0.706134021282196
physicochemical_secondary_structure,test,0.6165241003036499,0.7119458317756653
physicochemical_volume,train,0.9986612200737,0.5037129521369934
physicochemical_volume,validate,0.6221573352813721,0.7093923687934875
physicochemical_volume,test,0.619236409664154,0.7099004983901978
